text1,text2,semantic_similarity_score
broadband challenge tv viewing number european broadband exploded past 12 month web eating tv viewing habit research suggests found quarter web user said spent le time watching tv favour net report nielsen/netratings found number people fast internet access risen 60 past year twelve month ago high speed internet user made one third audience europe 50 expect number keep growing said gabrielle prior nielsen/netratings analyst,gardener win double glasgow britain jason gardener enjoyed double 60m success glasgow first competitive outing since 100m relay gold athens olympics third success britain edged russia olga fedorova sweden jenny kallur win woman 60m race 7.23secs triple jump leap 16.87m britain tosin oke fourth 15.80m france men 400m brett rund fourth britain took victory sweden woman 60m hurdle ahead russia irina shevchenko britain sarah claxton set new personal best,0.6556444
mr knight founder death row record served 10-month jail term 2004 punching man parole assault conviction police said mr knight stopped saturday performing illegal u-turn search car allegedly found marijuana,amnesty chief lament war failure lack public outrage war terror powerful indictment failure human right group amnesty international chief said said human right movement use simpler language prevent scepticism spread moral message m khan said movement failed mobilise public outrage happening human right system m khan said human right movement would make irrelevant turned away suffering caused economic strife,0.5167681
player burn-out worry robinson england coach andy robinson say english rugby act prevent injury destroying player career result three major stakeholder english rugby launched injury audit find player coping,hank greeted wintry premiere hollywood star tom hank london leicester square uk premiere polar express performance capture technique enables hank play number role including eight-year-old boy centre story father christmas,0.5345936
heart oak started game needing win qualify final cotonsport needed avoid defeat go little late cameroonian heart held win game place final,redford wanted sundance platform independent film-makers commercial success many showcased film led criticism festival becoming mainstream people started say gone mainstream hollywood actually hollywood came u suddenly good business independent film add redford want festival encompass viewpoint belief american medium fails reflect particularly u perceived internationally redford know started sundance tv channel effort reach wider audience sooner later away stereotypical label people say film so-and,0.5998812
organiser widely considered playing safe year booking 62-year-old sir paul second super bowl show three year ago invited perform first super bowl september 11 attack performed specially-written song freedom controversy last year saw cbs fined record 550 000 £292 000 federal regulator super bowl organiser turned producer mischer oversee year half-time show,mauresmo open victory la amelie mauresmo maria sharapova opening match tour championship los angeles mauresmo win ninth row try overtake lindsay davenport number one spot got mad little bit played great tennis said mauresmo runner-up kim clijsters last year final sharapova lost 6-2 6-2 kuznetsova beijing september said beijing coming big winning streak 14 match unstoppable hard go get right fighting hoping said williams,0.68608356
india deport bollywood actress india ordered deportation iranian-born model actress negar khan norway saying working illegally visa immigration official said warned visa last year bipin bihari deputy police chief bombay said khan sent back norway hold passport first available flight,foster buy stake winemaker australian brewer foster bought large stake australian winemaker southcorp sparking rumour possible takeover foster bought 18.8 southcorp global winemaker behind penfolds lindemans rosemount brand 4.17 australian dollar per share foster bought 18.8 stake reline investment family investment firm oatleys founded rosemount estate label sold southcorp 2001. analyst divided thursday whether foster likely go takeover merely wanted take big enough chunk southcorp prevent falling rival,0.5818436
panel literary expert including novelist hari kunzru ali smith director sir richard eyre comedian alexei sayle chose winner five-strong shortlist found impressive armand marie leroi book scope reference elegance inquisitiveness said m armistead chair judge guardian literary editor,jp morgan admits u slavery link thousand slave accepted collateral loan two bank later became part jp morgan chase admission part apology sent jp morgan staff bank researched link slavery order meet legislation chicago,0.5468887
aside mr blair 20 world leader expected attend including french president jacques chirac due speak video link bad weather delayed helicopter south african president thabo mbeki whose arrival delayed ivory coast peace talk time 100 000 people expected converge brazilian resort porto alegre world social forum so-called anti-davos campaigner globalisation fair trade many cause contrast davos forum dominated business issue outsourcing corporate leadership boss fifth world 500 largest company scheduled attend,surge led animated movie howl moving castle took 20bn yen £102m become biggest film japan 2004. last samurai starring tom cruise biggest foreign movie hit japan last year taking 13.8bn yen £70.7m,0.68564117
kennedy predicts bigger turnout voter pent passion could confound prediction low turnout coming general election charles kennedy said mr cook giving evidence power inquiry voter turnout rate told bbc radio 4 today programme fair blame public interested politics ever,ocean twelve raid box office ocean twelve crime caper sequel starring george clooney brad pitt julia robert gone straight number one u box office chart sequel narrowly beat 2001 predecessor ocean eleven took 38.1m £19.8m opening weekend 184m £95.8m total,0.63058007
carry star patsy rowlands dy actress patsy rowlands known million role carry film died age 71. rowlands starred nine popular carry film alongside fellow regular sid james kenneth williams barbara windsor made first carry film 1969 appeared carry doctor,16 time faster average broadband package market pave way service video-on-demand broadband tv represents big leap forward broadband said chris stening uk online general manager uk online looking possibility bundling service cheap net telephone call video-on-demand tv 2005 service prof popular service twice fast service offer uk 16 time faster broadband service said mr stening,0.43188083
lion blow world cup winner british irish lion coach clive woodward say unlikely select player involved next year rb six nation championship woodward added key thing want stress intend use six nation player available international rugby key benchmark following black impressive display europe recent week including 45-6 humiliation france woodward belief three-test series new zealand provide ultimate rugby challenge result woodward stressed lion group might dominated player england ireland held hope struggling scot,protect whistleblower tuc say government change law give protection employee raise health safety concern workplace tuc said health safety executive said trying get worker involved helping make workplace safer health safety executive said launched initiative make factory office safer worker involvement,0.4761982
speech take search engine scottish firm looking attract web surfer search engine read result called speegle look feel normal search engine added feature able read result visitor speegle may notice look feel site bear passing resemblance better known silent search engine google google connection speegle use bright colour simply make site visible visual impairment said mr renton,lennon brand ranger favourite celtic neil lennon admits ranger could considered slight favourite old firm ci cup clash insists side still win,0.61707544
number new role created department including head comedy commissioning based glasgow m bennett said new role would benefit making programme within bbc well making show channel independently,unilever owns brand including dove soap said annual pre-tax profit fell 36 2.9bn euro £1.99bn company said main focus improving profit planning accelerate increase investment 400 main brand unilever said european sale fell 2.8 last year dragged part sale beverage division revenue dipped almost 4 sale ice cream frozen food dipped 3.4 u last year revenue grew 1.5 despite disappointing sale slimfast company said company also said planned spend 500m euro year buying back share,0.3998869
gerrard play european hope steven gerrard admitted liverpool little chance winning champion league season fighting fourth spot champion league next season still involved two cup competition important,fred hasson head tiga represents independent developer said uk firm would go due greater risk making new title said 150 independent developer left industry likely close mr hasson said industry predicting development cost team likely need double order cope demand new machine console get powerful content get detailed mean cost said gary dunn development director codemasters develops game house also publishes title mr hasson said game developer beginning realise business-like,0.6402695
pearce keen succeeding keegan joint assistant bos stuart pearce admitted would like succeed kevin keegan manager manchester city linked manager job oldham keegan stated would get way pearce wanted leave,phytopharm receive initial fee £6.5m unilever potential total £21m well future royalty product sale deal production hoodia cactus phytopharm nursery south africa also rise eight million plant potentially hundred million said phytopharm chief executive richard dixey,0.434713
conservative backing id card tory back controversial government plan introduce id card source within conservative party told bbc michael howard always favour id card tried introduce home secretary lib dem home affair spokesman mark oaten said sign michael howard overruling colleague concern id card,buffy creator join wonder woman creator buffy vampire slayer take new female superhero signing write direct wonder woman movie one better joss adapt legendary wonder woman comic book character created 1940s dynamic feature film 21st century audience said silver whedon created character buffy screenplay 1992 film,0.5970285
playstation 3 processor unveiled cell processor drive sony playstation 3 run 10-times faster current pc chip designer said sony ibm toshiba working cell processor three year unveiled chip monday playstation 3 likely first mass-market product use cell chip designer said flexible architecture mean would useful wide range application server mobile phone ibm said cell o neutral would support multiple operating system simultaneously designer would confirm microsoft window among tested chip,search war hit desktop pc another front on-going battle microsoft google opened move answer google release search tool catalogue data desktop pc desktop search market becoming increasingly crowded google aol yahoo many smaller firm tout program help people find file john connors microsoft chief financial officer said test version desktop search software available download end year microsoft coming late desktop search arena software compare favourably program large number rival many fiercely dedicated population user 14 october google released desktop search software catalogue file pc let user use one tool find e-mail message spreadsheet text file presentation,0.71934545
podcasting diy radio form downloadable mp3 audio file real people saying real thing communicating say adam curry former mtv vj pied piper podcasting digital music player select podcasts like subscribe free show feed totally going kill business model radio think curry source people stuff podcasting way tell people care podcasting going medium niche audience measured single digit like e-mail blog curry associate ron bloom new venture called podshow help ordinary people produce post distribute market podcasts way podcasts work based r latest podcasts people select mean ready-made target look podcasting wow pretty interesting audience essentially say bass fishing podcast someone selling bait tackle probably want advertise show knighted add wry chuckle people going happy sit home make podcast make little money,apple work making thing easy use would also help mac mini win fan said apple hoping sale ipod halo effect sale mac said said mac mini changed perception apple traditionally done well market mac mini aimed said mr fogg also expected many pc maker release copycat device reaction said anyone wanting use mac mini peripheral old computer may find odd something small sleek next hulking monitor much likely pair mac mini lcd flat panel monitor increase upgrade cost said mac mini also fell short medium server video recorder well store digital music movie image people accumulate said mr fogg mac mini quite ready yet said release mac mini fit perfectly trend said,0.74421215
dozen held id fraud site twenty-eight people including briton arrested global operation website allegedly involved identity fraud arrested accused operating shadowcrew.com investigator claim global clearing house criminal involved credit card fraud 28 people detained globally suspected involved internet-based network stole people identity used computer website defraud credit card company website shared tip commit fraud provided forum people could buy information tool needed commit crime said,nice last week european commission announced networked electronic medium nem initiative commission want people able locate content desire delivered seamlessly move home work matter supply device network content content protection scheme identified many group defined form digital medium area nem encompasses many feel difficult challenging area commission identify solution different digital right management drm scheme,0.51883435
kennedy predicts bigger turnout voter pent passion could confound prediction low turnout coming general election charles kennedy said mr cook giving evidence power inquiry voter turnout rate told bbc radio 4 today programme fair blame public interested politics ever,van gogh festival film withdrawn murdered director theo van gogh controversial film submission pulled rotterdam film festival security fear two van gogh film shown planned including theatrical world premiere last feature 06/05,0.56927365
chancellor rally labour voter gordon brown issued rallying cry supporter warning stake high stay home protest vote next general election chancellor said poll expected fall 5 may would give clear fundamental choice labour investment tory cut laying conservative record government said give promise labour britain never return mistake erm 10 inflation 15 interest rate £3bn lost reserve 250 000 repossessed one million negative equity three million unemployed central dividing line election conservative party taking britain back planning deep cut £35bn service labour government taking britain forward platform stability reform renew hospital school public service proud say spend 2008 £60bn trumpeting labour management economy gordon brown record mixed said,microsoft set sight spyware window user could soon paying microsoft keep pc free spyware following takeover anti-spyware firm giant microsoft said would soon release toolkit strip machine irritating program survey show almost every window pc infested spyware program everything bombard user advert steal login data,0.7278156
almost 50 questioned said would trust search engine much le knew information paid result hidden tony macklin spokesman ask jeeves said result reflected research showed people use different search engine way site gather information mean provide different result query alongside growing sophistication net user lack awareness paid-for result many search engine provide alongside list website found indexing web said pew report finding ironic since nearly half user say would stop using search engine thought engine clear presented paid result,moore question captaincy brian moore belief england captain full-back former england captain moore told bbc full-backs far away action problem player around replace icon lost retirement injury requisite experience moore added,0.62541044
security warning fbi virus u federal bureau investigation warning computer virus spread via e-mail purport fbi attachment e-mail contains virus fbi said,earlier month mr glazer presented board detailed proposal offer buy football club statement club said would allow mr glazer limited due diligence give opportunity take proposal formal bid many manchester united supporter share club fan-based group shareholder united strongly opposed takeover mr glazer board responsibility consider bona fide offer proposal club said statement present mr glazer family hold 28.1 stake making manchester united second biggest shareholder,0.512671
imf also reduce growth estimate 12-member eurozone economy 2.2 1.6 newspaper reported imf also revised eurozone forecast paper said taking account high oil price strength euro weak demand many world leading economy,incredibles win animation award incredibles movie beaten shrek 2 main prize hollywood animation award annies incredibles total 10 award shrek 2 seven nomination went home empty-handed,0.5380559
boix-vives family thought spent past couple year sounding possible suitor rossignol also make golf equipment snowboard sport clothing,mr florin said 50 ea game sold adult played adult perception remained video game industry child ea said video game industry bigger music industry jan bolz ea vice president sale marketing europe said firm working give video game central role popular culture also said ea planning international award show similar oscar grammys would combine video game music movie mr bolz said video game firm work closely celebrity,0.52123356
organiser widely considered playing safe year booking 62-year-old sir paul second super bowl show three year ago invited perform first super bowl september 11 attack performed specially-written song freedom controversy last year saw cbs fined record 550 000 £292 000 federal regulator super bowl organiser turned producer mischer oversee year half-time show,stuart rose head said last year price high bringing range new price point compete mid-market retailer like next said brought quite lot new clothing new price point part stuart rose strategy quality style -and price said spokesman,0.62512046
double injury blow strike wale wale centre sonny parker number eight ryan jones miss saturday game italy injury meanwhile mike ruddock may make gavin henson first-choice kicker rome,steady job growth continues u u created fewer job expected december analyst said dip hiring enough derail world biggest economy job creation one last year main concern u economy unemployment rate stayed 5.4 december 200 000 job need created month figure drop,0.65171504
new foot mouth action urged senior tory mp criticised agriculture department defra lackadaisical approach planning future foot mouth outbreak national audit office said defra improved capacity deal future livestock disease outbreak four year outbreak defra yet begin planned review contractor cost £40m invoice remain unpaid mr leigh said,rico gear ran two black seven try predominantly second-string line-up baa-baas threaten scoring try albert van den bergh xavier rush andrea lo cicero never looked like winning marty holah got black onslaught way fifth-minute try rush hit back moment later jermoe keino piri weepu added try black tally final whistle van den bergh gained consolation baa-baas,0.7071689
mr brien said uk business sprinting forward ict use challenge ahead mr brien said increase proportion business connected broadband show uk company embracing opportunity ict bring,eminem secret gig venue revealed rapper eminem play intimate gig london saturday following show river thames friday eminem performed hm belfast friday docked river thames filmed two song bbc one top pop,0.43623126
john peel replacement show begin permanent replacement late dj john peel bbc radio 1 show go air tuesday three host chosen fill legendary presenter slot rock dj huw stephen go air 2300 slot every tuesday black music champion ra kwame wednesday dance dj rob da bank thursday radio 1 said station trying replace peel would rise challenge keeping legacy alive unpredictable music rob da bank one host blue room early morning weekend show play electronic dance music,phytopharm receive initial fee £6.5m unilever potential total £21m well future royalty product sale deal production hoodia cactus phytopharm nursery south africa also rise eight million plant potentially hundred million said phytopharm chief executive richard dixey,0.6673807
ukip spokesman mark croucher said selected mr houston knew nothing view mr croucher said main issue would mr houston reported view presented ukip policy peter nielson ukip scotland chairman said suspended mr houston friday night,men 60m former olympic 100m champion maurice greene could finish second leonard scott,0.4214185
row brewing peer-to-peer ad music download network proving popular audience youngster keen take advantage free music advertiser equally keen reach captive audience paul myers chief executive wippit peer peer service provides paid-for music downloads belief time advertiser stopped providing oxygen company support illegal downloading may surprised know current advertiser popular peer peer service edonkey steadfastly support copyright theft real cash money include nat west vodafone o2 first direct ntl renault said open letter british phonographic industry last month bpi strongly belief reputable company look carefully support giving network advertising revenue said statement issue often complicated advertiser said mark mulligan music analyst jupiter research advertiser probably pay lot le putting ad respected site reaching perfect target audience said,prime minister chancellor faced backbench discontent monday meeting parliamentary labour party claim made journalist robert peston new book new book claim mr prescott hosted dinner november 2003 prime minister told mr brown would stand next election lost trust iraq war mr peston book mr brown alleged told prime minister nothing could ever say could ever believe,0.68162465
tory criticised lib dem stance saying mr oaten initially said accepted mr blunkett word unless evidence emerged lib dem official say mr oaten speaking inquiry way avoiding rushing judgement,government intends legislate parliamentary time allows lower age said mr leslie elected 1997 age 24. announcement mr leslie elected 1997 formerly safe tory seat prompted call lowering voting age 16. vote 16 alliance said good thing engage people lowering candidacy age argued lowering voting age would much effective,0.65120107
film studio lion gate entertainment announced initial list 12 movie umd format used handheld first saw machine started talking sony immediately decided going winner gaming perspective perspective people watching movie go mr beeks said,economy strong election year uk business set prosper next month could trigger interest rate rise according report uk looking strong going general election business need prepare jolt ahead bank england reacts growth inflationary pressure said peter hemington partner bdo stoy hayward,0.5134875
