text1,text2
"broadband challenges tv viewing the number of europeans with broadband has exploded over the past 12 months  with the web eating into tv viewing habits  research suggests.
it found that a quarter of web users said they spent less time watching tv in favour of the net  the report by nielsen/netratings found that the number of people with fast internet access had risen by 60% over the past year.
twelve months ago high speed internet users made up just over one third of the audience in europe; now they are more than 50% and we expect this number to keep growing   said gabrielle prior  nielsen/netratings analyst.","gardener wins double in glasgow britain s jason gardener enjoyed a double 60m success in glasgow in his first competitive outing since he won 100m relay gold at the athens olympics.
there was a third success for britain when  edged out russia s olga fedorova and sweden s jenny kallur to win the women s 60m race in 7.23secs.
won the triple jump with a leap of 16.87m  with britain s tosin oke fourth in 15.80m.
france s  won the men s 400m  with brett rund fourth for britain.
took victory for sweden in the women s 60m hurdles ahead of russia s irina shevchenko and britain s sarah claxton  who set a new personal best."
"mr knight  founder of death row records  served a 10-month jail term in 2004 for punching a man while on parole for an assault conviction.
police said mr knight was stopped on saturday after performing an illegal u-turn and a search of his car allegedly found marijuana.","amnesty chief laments war failure the lack of public outrage about the war on terror is a powerful indictment of the failure of human rights groups  amnesty international s chief has said.
she said the human rights movement had to use simpler language both to prevent scepticism and spread a moral message.
ms khan said the movement had failed to mobilise public outrage about what was happening to the human rights system.
ms khan said the human rights movement would make itself irrelevant if it turned away from the suffering caused by economic strife."
"player burn-out worries robinson england coach andy robinson says english rugby has to act now to prevent injury destroying players  careers.
as a result three of the major stakeholders in english rugby have launched an  injury audit  to find out how players are coping.","hanks greeted at wintry premiere hollywood star tom hanks was in london s leicester square for the uk premiere of polar express.
the  performance capture  technique enables hanks to play a number of roles  including the eight-year-old boy who is at the centre of the story  and father christmas."
"hearts of oak started the game needing a win to qualify for the final while cotonsport only needed to avoid defeat to go through.
but it was too little too late for the cameroonians and hearts held on to win the game and a place in the final.","redford wanted sundance to be a platform for independent film-makers  but the commercial success of many showcased films have led to criticism that the festival is becoming too mainstream.
people started to say we had gone mainstream and hollywood  but actually hollywood came to us because suddenly there was good business in independent film   he adds.
redford wants the festival to encompass viewpoints he believes the american media fails to reflect  particularly how the us is perceived internationally.
but redford knows this and started the sundance tv channel in an effort to reach a wider audience.
sooner or later we will do away with those stereotypical labels and people will say  it s just a film by so-and so ."
"organisers were widely considered to be playing it safe this year by booking 62-year-old sir paul for his second super bowl show.
three years ago  he was invited to perform at the first super bowl after the september 11 attacks and performed his specially-written song freedom.
after the controversy last year - which saw cbs fined a record $550 000 (£292 000) by federal regulators - super bowl organisers had turned to producer don mischer to oversee this year s half-time show.","mauresmo opens with victory in la amelie mauresmo and maria sharapova won their opening matches at the tour championships in los angeles.
mauresmo s win was her ninth in a row as she tries to overtake lindsay davenport for the number one spot.
she got mad a little bit and i played some great tennis   said mauresmo  who was runner-up to kim clijsters in last year s final.
sharapova  who lost 6-2 6-2 to kuznetsova in beijing in september  said:  in beijing  she was coming off such a big winning streak [14 matches] and she was unstoppable.
it s hard to go out there and get it right but i m fighting and i m hoping   said williams."
"india to deport bollywood actress india has ordered the deportation of iranian-born model and actress negar khan to norway after saying she was working illegally on her visa.
immigration officials said she had been warned about her visa last year.
bipin bihari  deputy police chief in bombay  said khan was being sent back to norway  from which she holds a passport  on the first available flight.","fosters buys stake in winemaker australian brewer fosters has bought a large stake in australian winemaker southcorp  sparking rumours of a possible takeover.
fosters bought 18.8% of southcorp  the global winemaker behind the penfolds  lindemans and rosemount brands  for 4.17 australian dollars per share.
fosters bought the 18.8% stake from reline investments  the family investment firm for the oatleys  who founded the rosemount estates label and sold it to southcorp in 2001.
analysts were divided on thursday about whether fosters was more likely to go for a takeover or merely wanted to take a big enough chunk of southcorp to prevent it falling to a rival."
"a panel of literary experts  including novelists hari kunzru and ali smith  director sir richard eyre and comedian alexei sayle chose the winner from a five-strong shortlist.
what we found so impressive about armand marie leroi s book was the scope of its reference  its elegance and its inquisitiveness   said ms armistead  chair of the judges and the guardian literary editor.","jp morgan admits us slavery links thousands of slaves were accepted as collateral for loans by two banks that later became part of jp morgan chase.
the admission is part of an apology sent to jp morgan staff after the bank researched its links to slavery in order to meet legislation in chicago."
"aside from mr blair  more than 20 other world leaders are expected to attend including french president jacques chirac - due to speak by video link after bad weather delayed his helicopter - and south african president thabo mbeki  whose arrival has been delayed by ivory coast peace talks.
at the same time  about 100 000 people are expected to converge on the brazilian resort of porto alegre for the world social forum - the so-called  anti-davos  for campaigners against globalisation  for fair trade  and many other causes.
in contrast  the davos forum is dominated by business issues - from outsourcing to corporate leadership - with bosses of more than a fifth of the world s 500 largest companies scheduled to attend.","the surge was led by animated movie howl s moving castle  which took 20bn yen (£102m) to become the biggest film in japan in 2004.
the last samurai  starring tom cruise  was the biggest foreign movie hit in japan last year  taking 13.8bn yen (£70.7m)."
"kennedy predicts bigger turnout voters   pent up passion  could confound predictions of a low turnout in the coming general election  charles kennedy has said.
mr cook  who is giving evidence to the power inquiry into voter turnout rates  told bbc radio 4 s today programme it was not fair to blame the public who were  more interested in politics than ever before .","ocean s twelve raids box office ocean s twelve  the crime caper sequel starring george clooney  brad pitt and julia roberts  has gone straight to number one in the us box office chart.
the sequel narrowly beat its 2001 predecessor  ocean s eleven which took $38.1m (£19.8m) on its opening weekend and $184m (£95.8m) in total."
"carry on star patsy rowlands dies actress patsy rowlands  known to millions for her roles in the carry on films  has died at the age of 71.
rowlands starred in nine of the popular carry on films  alongside fellow regulars sid james  kenneth williams and barbara windsor.
she made her first carry on film in 1969 where she appeared in carry on again doctor.","it is 16 times faster than the average broadband package on the market and will pave the way for services such as video-on-demand and broadband tv.
it represents a  big leap forward  for broadband  said chris stening  uk online general manager.
uk online is looking at the possibility of bundling services such as cheap net telephone calls  video-on-demand and tv by 2005 if the service proves popular.
the service is twice as fast as any other service on offer in the uk and 16 times faster than most broadband services   said mr stening."
