text1,text2,semantic_similarity_score
broadband challenge tv viewing number european broadband exploded past 12 month web eating tv viewing habit research suggests found quarter web user said spent le time watching tv favour net report nielsen/netratings found number people fast internet access risen 60 past year twelve month ago high speed internet user made one third audience europe 50 expect number keep growing said gabrielle prior nielsen/netratings analyst,gardener win double glasgow britain jason gardener enjoyed double 60m success glasgow first competitive outing since 100m relay gold athens olympics third success britain edged russia olga fedorova sweden jenny kallur win woman 60m race 7.23secs triple jump leap 16.87m britain tosin oke fourth 15.80m france men 400m brett rund fourth britain took victory sweden woman 60m hurdle ahead russia irina shevchenko britain sarah claxton set new personal best,0.14130895
mr knight founder death row record served 10-month jail term 2004 punching man parole assault conviction police said mr knight stopped saturday performing illegal u-turn search car allegedly found marijuana,amnesty chief lament war failure lack public outrage war terror powerful indictment failure human right group amnesty international chief said said human right movement use simpler language prevent scepticism spread moral message m khan said movement failed mobilise public outrage happening human right system m khan said human right movement would make irrelevant turned away suffering caused economic strife,0.035329398
player burn-out worry robinson england coach andy robinson say english rugby act prevent injury destroying player career result three major stakeholder english rugby launched injury audit find player coping,hank greeted wintry premiere hollywood star tom hank london leicester square uk premiere polar express performance capture technique enables hank play number role including eight-year-old boy centre story father christmas,0.14022744
heart oak started game needing win qualify final cotonsport needed avoid defeat go little late cameroonian heart held win game place final,redford wanted sundance platform independent film-makers commercial success many showcased film led criticism festival becoming mainstream people started say gone mainstream hollywood actually hollywood came u suddenly good business independent film add redford want festival encompass viewpoint belief american medium fails reflect particularly u perceived internationally redford know started sundance tv channel effort reach wider audience sooner later away stereotypical label people say film so-and,0.020800848
organiser widely considered playing safe year booking 62-year-old sir paul second super bowl show three year ago invited perform first super bowl september 11 attack performed specially-written song freedom controversy last year saw cbs fined record 550 000 £292 000 federal regulator super bowl organiser turned producer mischer oversee year half-time show,mauresmo open victory la amelie mauresmo maria sharapova opening match tour championship los angeles mauresmo win ninth row try overtake lindsay davenport number one spot got mad little bit played great tennis said mauresmo runner-up kim clijsters last year final sharapova lost 6-2 6-2 kuznetsova beijing september said beijing coming big winning streak 14 match unstoppable hard go get right fighting hoping said williams,0.058241572
india deport bollywood actress india ordered deportation iranian-born model actress negar khan norway saying working illegally visa immigration official said warned visa last year bipin bihari deputy police chief bombay said khan sent back norway hold passport first available flight,foster buy stake winemaker australian brewer foster bought large stake australian winemaker southcorp sparking rumour possible takeover foster bought 18.8 southcorp global winemaker behind penfolds lindemans rosemount brand 4.17 australian dollar per share foster bought 18.8 stake reline investment family investment firm oatleys founded rosemount estate label sold southcorp 2001. analyst divided thursday whether foster likely go takeover merely wanted take big enough chunk southcorp prevent falling rival,-0.012185032
panel literary expert including novelist hari kunzru ali smith director sir richard eyre comedian alexei sayle chose winner five-strong shortlist found impressive armand marie leroi book scope reference elegance inquisitiveness said m armistead chair judge guardian literary editor,jp morgan admits u slavery link thousand slave accepted collateral loan two bank later became part jp morgan chase admission part apology sent jp morgan staff bank researched link slavery order meet legislation chicago,0.096278265
aside mr blair 20 world leader expected attend including french president jacques chirac due speak video link bad weather delayed helicopter south african president thabo mbeki whose arrival delayed ivory coast peace talk time 100 000 people expected converge brazilian resort porto alegre world social forum so-called anti-davos campaigner globalisation fair trade many cause contrast davos forum dominated business issue outsourcing corporate leadership boss fifth world 500 largest company scheduled attend,surge led animated movie howl moving castle took 20bn yen £102m become biggest film japan 2004. last samurai starring tom cruise biggest foreign movie hit japan last year taking 13.8bn yen £70.7m,0.13167483
kennedy predicts bigger turnout voter pent passion could confound prediction low turnout coming general election charles kennedy said mr cook giving evidence power inquiry voter turnout rate told bbc radio 4 today programme fair blame public interested politics ever,ocean twelve raid box office ocean twelve crime caper sequel starring george clooney brad pitt julia robert gone straight number one u box office chart sequel narrowly beat 2001 predecessor ocean eleven took 38.1m £19.8m opening weekend 184m £95.8m total,0.08650628
carry star patsy rowlands dy actress patsy rowlands known million role carry film died age 71. rowlands starred nine popular carry film alongside fellow regular sid james kenneth williams barbara windsor made first carry film 1969 appeared carry doctor,16 time faster average broadband package market pave way service video-on-demand broadband tv represents big leap forward broadband said chris stening uk online general manager uk online looking possibility bundling service cheap net telephone call video-on-demand tv 2005 service prof popular service twice fast service offer uk 16 time faster broadband service said mr stening,0.02826823
lion blow world cup winner british irish lion coach clive woodward say unlikely select player involved next year rb six nation championship woodward added key thing want stress intend use six nation player available international rugby key benchmark following black impressive display europe recent week including 45-6 humiliation france woodward belief three-test series new zealand provide ultimate rugby challenge result woodward stressed lion group might dominated player england ireland held hope struggling scot,protect whistleblower tuc say government change law give protection employee raise health safety concern workplace tuc said health safety executive said trying get worker involved helping make workplace safer health safety executive said launched initiative make factory office safer worker involvement,0.05152748
speech take search engine scottish firm looking attract web surfer search engine read result called speegle look feel normal search engine added feature able read result visitor speegle may notice look feel site bear passing resemblance better known silent search engine google google connection speegle use bright colour simply make site visible visual impairment said mr renton,lennon brand ranger favourite celtic neil lennon admits ranger could considered slight favourite old firm ci cup clash insists side still win,0.06294549
